actual_input_tokens,actual_output_tokens,cache_prompt,case,completed_at,concurrency,decode_tokens_per_second,fallback,first_at,generator_delay_ms,ignore_eos,input_tokens,input_tokens_requested,latency_ms,offered_rps,output_tokens_requested,partial_response,pattern,phase,planned_at,pure_network_ms,request_id,requester,retry,run_id,selected_node,sent_at,server_timings,status,stop_type,target_output_tokens,tokens_cached,ttft_ms,zero_prefix_reuse_verified
512,128,False,i512-o128-c1,1788845242.2205174,1,40.94182971938405,False,1788845239.117977,4.277467727661133,True,512,512,3383.848208002746,,128,True,wave,measure,1788845238.832392,,i512-o128-c1-0,etri-dev0001-jetorn,False,sweep,etri-dev0001-jetorn,1788845238.8366694,"{'cache_n': 0, 'prompt_n': 512, 'prompt_ms': 279.044, 'prompt_per_token_ms': 0.5450078125, 'prompt_per_second': 1834.8360831983487, 'predicted_n': 128, 'predicted_ms': 3101.962, 'predicted_per_token_ms': 24.424897637795276, 'predicted_per_second': 40.94182971938405}",ok,limit,128,639,281.3083848450333,True
512,128,False,i512-o128-c2,1788845245.6088827,2,40.92488961558316,False,1788845242.504305,1.117706298828125,True,512,512,3386.726442957297,,128,True,wave,measure,1788845242.2210386,,i512-o128-c2-1,etri-dev0001-jetorn,False,sweep,etri-dev0001-jetorn,1788845242.2221563,"{'cache_n': 0, 'prompt_n': 512, 'prompt_ms': 279.895, 'prompt_per_token_ms': 0.546669921875, 'prompt_per_second': 1829.2574000964648, 'predicted_n': 128, 'predicted_ms': 3103.246, 'predicted_per_token_ms': 24.43500787401575, 'predicted_per_second': 40.92488961558316}",ok,limit,128,639,282.15003409422934,True
512,128,False,i512-o128-c2,1788845248.9969032,2,40.889524232677495,False,1788845245.890473,0.37026405334472656,True,512,512,6775.494175031781,,128,True,wave,measure,1788845242.2210386,,i512-o128-c2-0,etri-dev0001-jetorn,False,sweep,etri-dev0001-jetorn,1788845242.2214088,"{'cache_n': 0, 'prompt_n': 512, 'prompt_ms': 281.896, 'prompt_per_token_ms': 0.550578125, 'prompt_per_second': 1816.2726679342736, 'predicted_n': 128, 'predicted_ms': 3105.93, 'predicted_per_token_ms': 24.456141732283463, 'predicted_per_second': 40.889524232677495}",ok,limit,128,639,3669.06505683437,True
512,128,False,i512-o128-c4,1788845252.38832,4,40.89063012139044,False,1788845249.281137,0.7262229919433594,True,512,512,3390.14123310335,,128,True,wave,measure,1788845248.9974525,,i512-o128-c4-1,etri-dev0001-jetorn,False,sweep,etri-dev0001-jetorn,1788845248.9981787,"{'cache_n': 0, 'prompt_n': 512, 'prompt_ms': 279.102, 'prompt_per_token_ms': 0.54512109375, 'prompt_per_second': 1834.4547871387524, 'predicted_n': 128, 'predicted_ms': 3105.846, 'predicted_per_token_ms': 24.45548031496063, 'predicted_per_second': 40.89063012139044}",ok,limit,128,639,282.9582111444324,True
512,128,False,i512-o128-c4,1788845255.7693317,4,40.95890274002159,False,1788845252.667053,1.8918514251708984,True,512,512,6769.987344043329,,128,True,wave,measure,1788845248.9974525,,i512-o128-c4-2,etri-dev0001-jetorn,False,sweep,etri-dev0001-jetorn,1788845248.9993443,"{'cache_n': 0, 'prompt_n': 512, 'prompt_ms': 279.419, 'prompt_per_token_ms': 0.545740234375, 'prompt_per_second': 1832.3736037993121, 'predicted_n': 128, 'predicted_ms': 3100.669, 'predicted_per_token_ms': 24.41471653543307, 'predicted_per_second': 40.95890274002159}",ok,limit,128,639,3667.7096060011536,True
512,128,False,i512-o128-c4,1788845259.1542265,4,40.92144789749145,False,1788845256.0497153,0.4985332489013672,True,512,512,10156.275474000722,,128,True,wave,measure,1788845248.9974525,,i512-o128-c4-0,etri-dev0001-jetorn,False,sweep,etri-dev0001-jetorn,1788845248.997951,"{'cache_n': 0, 'prompt_n': 512, 'prompt_ms': 281.461, 'prompt_per_token_ms': 0.549728515625, 'prompt_per_second': 1819.0797304066994, 'predicted_n': 128, 'predicted_ms': 3103.507, 'predicted_per_token_ms': 24.437062992125984, 'predicted_per_second': 40.92144789749145}",ok,limit,128,639,7051.765402080491,True
512,128,False,i512-o128-c4,1788845262.5375416,4,40.95450438277692,False,1788845259.4362307,2.5548934936523438,True,512,512,13537.534476956353,,128,True,wave,measure,1788845248.9974525,,i512-o128-c4-3,etri-dev0001-jetorn,False,sweep,etri-dev0001-jetorn,1788845249.0000074,"{'cache_n': 0, 'prompt_n': 512, 'prompt_ms': 281.86, 'prompt_per_token_ms': 0.5505078125, 'prompt_per_second': 1816.5046476974383, 'predicted_n': 128, 'predicted_ms': 3101.002, 'predicted_per_token_ms': 24.417338582677164, 'predicted_per_second': 40.95450438277692}",ok,limit,128,639,10436.224598903209,True
512,128,False,i512-o128-c8,1788845265.9290195,8,40.90281202001597,False,1788845262.8226132,0.5810260772705078,True,512,512,3390.1968491263688,,128,True,wave,measure,1788845262.5382416,,i512-o128-c8-0,etri-dev0001-jetorn,False,sweep,etri-dev0001-jetorn,1788845262.5388227,"{'cache_n': 0, 'prompt_n': 512, 'prompt_ms': 277.988, 'prompt_per_token_ms': 0.5429453125, 'prompt_per_second': 1841.8061211275308, 'predicted_n': 128, 'predicted_ms': 3104.921, 'predicted_per_token_ms': 24.4481968503937, 'predicted_per_second': 40.90281202001597}",ok,limit,128,639,283.7916030548513,True
512,128,False,i512-o128-c8,1788845269.3197331,8,40.842250826090805,False,1788845266.2094858,0.8244514465332031,True,512,512,6780.66704981029,,128,True,wave,measure,1788845262.5382416,,i512-o128-c8-1,etri-dev0001-jetorn,False,sweep,etri-dev0001-jetorn,1788845262.539066,"{'cache_n': 0, 'prompt_n': 512, 'prompt_ms': 281.262, 'prompt_per_token_ms': 0.54933984375, 'prompt_per_second': 1820.3667754620246, 'predicted_n': 128, 'predicted_ms': 3109.525, 'predicted_per_token_ms': 24.48444881889764, 'predicted_per_second': 40.842250826090805}",ok,limit,128,639,3670.4208608716726,True
512,128,False,i512-o128-c8,1788845272.707154,8,40.91569980505441,False,1788845269.602042,2.8455257415771484,True,512,512,10166.066905017942,,128,True,wave,measure,1788845262.5382416,,i512-o128-c8-3,etri-dev0001-jetorn,False,sweep,etri-dev0001-jetorn,1788845262.5410872,"{'cache_n': 0, 'prompt_n': 512, 'prompt_ms': 282.215, 'prompt_per_token_ms': 0.551201171875, 'prompt_per_second': 1814.2196552273977, 'predicted_n': 128, 'predicted_ms': 3103.943, 'predicted_per_token_ms': 24.44049606299213, 'predicted_per_second': 40.91569980505441}",ok,limit,128,639,7060.955828987062,True
